,0
0,5317306.25
1,1473157.5
2,1937805.0
3,2539426.25
4,1276667.5
5,2247612.5
6,3353500.0
7,2646255.0
8,3864715.5
9,8275736.25
10,3240917.5
11,1308995.0
12,2335431.25
13,1153055.5
14,1749447.5
15,2535199.25
16,1937660.0
17,1756373.75
18,3271851.25
19,5713810.0
20,3932307.5
21,2959650.0
22,2820250.5
23,3367637.5
24,3467430.0
25,3761819.25
26,3174903.75
27,2963743.75
28,3331931.25
29,1547557.75
30,3565607.75
31,2465288.75
32,2258801.25
33,1788342.5
34,3540288.75
35,4277445.0
36,4420008.75
37,2063777.7499999998
38,4966285.5
39,2800531.25
40,2372082.5
41,2400503.75
42,4377492.5
43,4301561.75
44,2729137.5
45,909530.0
46,3445782.5
47,3871487.5
48,2660282.5
49,2296603.0
50,3418658.0
51,4932610.0
52,4111425.0
53,1624673.75
54,3297497.5
55,7044156.75
56,2932846.25
57,5135857.5
58,5553687.5
59,4132872.9999999995
60,4625083.75
61,2844873.75
62,1999296.25
63,4034147.5
64,3070398.0
65,6020827.5
66,4850592.5
67,3715485.0
68,5446130.5
69,4320686.25
70,4232067.5
71,4815130.0
72,3926501.25
73,3144306.75
74,2200876.25
75,4626982.5
76,7519637.5
77,7708003.0
78,6275750.0
79,7043932.5
80,5829846.25
81,8046423.75
82,5828231.75
83,3444442.5
84,3316071.25
85,2438612.5
86,1318648.0
87,2061131.25
88,2381402.5
89,2695526.25
90,1745845.0
91,2558600.25
92,3431245.25
93,3249637.5
94,2336361.25
95,7806171.5
96,5400466.5
97,4516910.0
98,6366540.0
99,3196883.75
100,3668303.75
101,3437815.5
102,1838215.0
103,1851486.25
104,3072331.75
105,4490730.0
106,5894401.25
107,5464411.25
108,4797905.0
109,2145316.75
110,2093248.0
111,2838196.25
112,3021723.0
113,2663155.0
114,3292493.75
115,1914376.25
116,4975225.0
117,5474522.5
118,4958873.75
119,5564943.0
120,5811322.5
121,5423590.0
122,5734898.75
123,6040402.75
124,5352017.5
125,5414127.5
126,5470336.25
127,6017802.5
128,7492258.0
129,7641197.5
130,6482800.0
131,4442283.75
132,3226650.0
133,2399557.5
134,2367738.0
135,1043712.4999999999
136,985568.75
137,1630424.25
138,1843804.25
139,293315.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
