,0
0,5307730.0
1,1475320.0
2,1938565.0
3,2538118.75
4,1276220.0
5,2240285.0
6,3346883.0
7,2644068.75
8,3858830.0
9,8270908.75
10,3251079.5
11,1308273.75
12,2325984.25
13,1153277.5
14,1750151.25
15,2532208.75
16,1933001.25
17,1751327.5
18,3268026.75
19,5700893.0
20,3929967.5
21,2963182.5
22,2823560.0
23,3364786.25
24,3460523.0
25,3758953.75
26,3176067.5
27,2959445.0
28,3331932.0
29,1550966.5
30,3569017.75
31,2463154.0
32,2261381.25
33,1787778.75
34,3533622.5
35,4270222.5
36,4411383.75
37,2063333.9999999998
38,4950568.0
39,2787521.25
40,2368295.0
41,2384562.5
42,4363880.0
43,4289442.5
44,1360046.75
45,2268253.75
46,3437940.0
47,3863226.25
48,2651967.5
49,2289854.25
50,3412646.75
51,4076720.0
52,3334282.5
53,3234046.25
54,3287978.75
55,3737346.25
56,6233233.0
57,5141451.25
58,5560182.5
59,4143653.75
60,4622843.75
61,2849799.25
62,2001205.5
63,4032026.25
64,3062522.5
65,6021058.75
66,4851406.75
67,3711561.25
68,5439383.0
69,4314967.5
70,4228698.75
71,4808450.0
72,3919525.0
73,3138389.25
74,2189217.75
75,4611871.25
76,7516612.5
77,7702180.0
78,6259100.0
79,7022332.5
80,5825269.0
81,8044981.250000001
82,5814315.0
83,3440590.0
84,3306822.5
85,2432955.25
86,1316504.25
87,2062004.9999999998
88,2378768.75
89,2699592.5
90,1745205.0
91,2557720.0
92,3426637.5
93,3250207.75
94,2342004.0
95,7797873.75
96,5401768.75
97,4522800.0
98,6372178.0
99,3193807.5
100,3662586.25
101,3434733.0
102,921127.5
103,1843906.25
104,2460628.75
105,3783621.25
106,6108230.0
107,7493607.5
108,4790519.25
109,2144893.0
110,2095781.25
111,1103117.5
112,3465530.0
113,2571422.5
114,2754892.5
115,3826246.25
116,4972125.5
117,5479477.5
118,4965177.5
119,5577598.75
120,5812397.75
121,5422720.0
122,5734612.5
123,6038881.25
124,5352698.0
125,5415091.25
126,5488473.75
127,6022307.5
128,7491901.25
129,7647853.0
130,6485146.25
131,4458971.25
132,3231480.5
133,2402518.75
134,2369541.25
135,1044617.4999999999
136,986220.0
137,1631546.25
138,1844735.5
139,292543.75
140,228.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
