,0
0,5320338.75
1,1476010.0
2,1938942.5
3,2543778.75
4,1280080.0
5,2241442.5
6,3362316.25
7,2653563.0
8,3867971.25
9,8282361.25
10,3245811.25
11,1308790.0
12,2330768.75
13,1151645.5
14,1749420.5
15,2535295.0
16,1937060.5
17,1759075.0
18,3275200.0
19,5710190.5
20,3936656.25
21,2963826.25
22,2828318.75
23,3369280.0
24,3461455.0
25,3761251.5
26,3179326.5
27,2958567.75
28,3336842.75
29,1551105.0
30,3565682.5
31,2460482.75
32,2256536.5
33,1783405.0
34,3536585.0
35,4279362.5
36,4413956.25
37,2063804.9999999998
38,4959126.75
39,2791255.0
40,1621187.5
41,1938810.5
42,3380583.75
43,4337143.75
44,3511836.25
45,2271372.5
46,3443668.75
47,3872681.25
48,1338516.75
49,2647417.5
50,1945237.5
51,4894353.75
52,4980257.5
53,3241479.25
54,3287273.75
55,7040658.75
56,2938131.25
57,5149042.5
58,5565586.75
59,4144568.75
60,4638150.0
61,2846035.0
62,1999550.0
63,4038031.25
64,3073711.25
65,6018325.5
66,4844425.0
67,3715878.75
68,5439383.0
69,4315347.5
70,4226152.5
71,4809446.25
72,3919683.75
73,3143950.0
74,2192062.5
75,4628560.0
76,7528476.25
77,7718159.0
78,6264115.5
79,7036065.0
80,5835310.0
81,8048833.750000001
82,5817785.0
83,3446636.25
84,3310038.75
85,2437077.5
86,1317243.75
87,2062388.7499999998
88,2382064.0
89,2696075.25
90,1747132.5
91,2565016.25
92,3430361.25
93,3258326.25
94,2341125.0
95,7805070.0
96,5410710.0
97,4523502.5
98,6373586.25
99,3198499.25
100,1832903.0
101,3556812.5
102,2644790.0
103,1847232.5
104,2464871.25
105,3790187.5
106,6114828.75
107,6490501.25
108,4647633.75
109,2307766.5
110,1983861.25
111,2209513.0
112,3478915.0
113,2577852.5
114,2760297.5
115,3829080.0
116,4978616.25
117,5489031.25
118,4977142.5
119,5578715.5
120,5827923.75
121,5433522.5
122,5744706.75
123,6050975.0
124,5361727.5
125,5425513.75
126,5484641.25
127,6025360.0
128,7497821.75
129,7656208.75
130,6493215.0
131,4452222.5
132,3239412.5
133,2405958.0
134,2372206.25
135,1044487.4999999999
136,986475.0
137,1634473.0
138,1845538.75
139,294222.5
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
