,0
0,5667790.0
1,1474325.0
2,1939972.5
3,2538888.75
4,1277250.0
5,2239507.5
6,3356146.25
7,2643075.0
8,3859654.0
9,8274837.5
10,3239633.75
11,1307532.5
12,2324238.75
13,1149073.0
14,1749452.5
15,2535466.75
16,1930727.5
17,1755832.5
18,3270886.25
19,5705460.0
20,3936146.25
21,2956050.0
22,2818910.5
23,3367165.0
24,3459337.5
25,3755838.0
26,3173363.75
27,2966270.0
28,3336732.5
29,1549348.0
30,3572056.25
31,2465802.5
32,2262923.75
33,1787395.0
34,3538772.5
35,4274728.75
36,4420490.5
37,2063602.7499999998
38,4966101.25
39,2792668.75
40,2369067.5
41,2392541.25
42,4372110.0
43,4301891.25
44,2724234.25
45,1817007.5
46,5077276.25
47,2674137.5
48,2642146.25
49,1948108.75
50,4899158.0
51,4985114.25
52,4890905.0
53,3519227.5
54,3524256.25
55,3121937.5
56,4048280.0
57,5359950.0
58,4853204.25
59,2073612.5
60,4631222.5
61,2854652.5
62,2006735.5
63,4044630.0
64,3071520.0
65,6021121.75
66,4858162.5
67,3720638.75
68,5439223.75
69,4328095.0
70,4231270.0
71,4815595.5
72,3921265.0
73,3144210.0
74,2192875.0
75,4623226.75
76,7525583.75
77,7723153.0
78,6278750.0
79,7040865.5
80,5842517.5
81,8057935.0
82,5828010.0
83,3456125.5
84,3316341.25
85,2439650.0
86,1319817.5
87,2062514.9999999998
88,2382854.25
89,2699440.5
90,1748165.0
91,2558620.0
92,3429981.25
93,3253311.25
94,2339322.5
95,7812311.25
96,5410116.5
97,4524904.0
98,6375971.25
99,3199337.5
100,3673841.25
101,3446306.25
102,1844488.0
103,4938623.75
104,4504215.5
105,7723422.5
106,5032870.0
107,2253367.5
108,2312227.5
109,1594636.25
110,1499385.0
111,2842833.0
112,3026678.75
113,2668626.25
114,3294882.5
115,4405093.0
116,5228453.75
117,5225355.0
118,2487128.0
119,5572990.0
120,5809111.25
121,5442661.25
122,5745512.5
123,6045767.5
124,5360307.5
125,5420209.25
126,5481137.5
127,6019280.0
128,7511493.0
129,7649102.5
130,6485567.5
131,4461872.5
132,3237993.0
133,2404970.0
134,2370540.0
135,1046416.2499999999
136,987761.25
137,1630777.5
138,1843221.25
139,294188.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
